"Sum - Count","Classification",,,,
"Date","<b>Unable to connect to Rserve</b> (result=-1, socket:unknown socket error 2).
","don't know...","food poisoning tweet","not a food poisoning tweet","Total Result"
"3/19/2014",,,2,3,5
"3/20/2014",,,5,,5
"3/21/2014",,,5,2,7
"3/22/2014",,,9,2,11
"3/23/2014",,,7,3,10
"3/24/2014",,1,11,3,15
"3/25/2014",,,11,5,16
"3/26/2014",,,5,4,9
"3/27/2014",,,2,,2
"3/28/2014",,,5,4,9
"3/29/2014",,,6,1,7
"3/30/2014",,,7,4,11
"3/31/2014",,,15,21,36
"4/1/2014",,,6,14,20
"4/2/2014",,,10,6,16
"4/3/2014",,,2,6,8
"4/4/2014",,,4,5,9
"4/5/2014",,,3,4,7
"4/6/2014",,,12,5,17
"4/7/2014",,,9,18,27
"4/8/2014",,,9,19,28
"4/9/2014",,,2,4,6
"4/10/2014",,,7,11,18
"4/11/2014",,1,4,3,8
"4/12/2014",,,11,6,17
"4/13/2014",,,10,5,15
"4/14/2014",,1,5,6,12
"4/15/2014",,,7,42,49
"4/16/2014",,,3,20,23
"4/17/2014",,,2,7,9
"4/18/2014",,,3,3,6
"4/19/2014",,,6,7,13
"4/20/2014",,,6,1,7
"4/21/2014",,1,5,4,10
"4/22/2014",,1,5,6,12
"4/23/2014",,,9,1,10
"4/24/2014",,,6,3,9
"4/25/2014",,,4,13,17
"4/26/2014",,1,4,3,8
"4/27/2014",,,3,2,5
"4/28/2014",,,10,7,17
"4/29/2014",,,5,10,15
"4/30/2014",,,3,16,19
"5/1/2014",,,4,4,8
"5/2/2014",,,3,9,12
"5/3/2014",,,3,1,4
"5/4/2014",,,7,3,10
"5/5/2014",,,6,10,16
"5/6/2014",,,7,3,10
"5/7/2014",,,8,9,17
"5/8/2014",,,7,6,13
"5/9/2014",,1,5,4,10
"5/10/2014",,,3,2,5
"5/11/2014",,,4,2,6
"5/12/2014",,,5,3,8
"5/13/2014",,,4,13,17
"5/14/2014",,,4,12,16
"5/15/2014",,1,6,4,11
"5/16/2014",,,7,4,11
"5/17/2014",,,5,2,7
"5/18/2014",,2,4,2,8
"5/19/2014",,,8,7,15
"5/20/2014",,,11,3,14
"5/21/2014",,,9,7,16
"5/22/2014",,,4,14,18
"5/23/2014",,,7,23,30
"5/24/2014",,1,4,10,15
"5/25/2014",,,2,2,4
"5/26/2014",,,6,7,13
"5/27/2014",,,5,5,10
"5/28/2014",,1,4,5,10
"5/29/2014",,2,8,8,18
"5/30/2014",,,5,2,7
"5/31/2014",,,3,2,5
"6/1/2014",,,2,3,5
"6/2/2014",,,3,5,8
"6/3/2014",,,2,2,4
"6/4/2014",,,3,4,7
"6/5/2014",,,2,5,7
"6/6/2014",,,10,11,21
"6/7/2014",,,7,5,12
"6/8/2014",,,3,3,6
"6/9/2014",,,5,1,6
"6/10/2014",,,5,5,10
"6/11/2014",,,4,5,9
"6/12/2014",,,3,5,8
"6/13/2014",,,6,12,18
"6/14/2014",,,2,,2
"6/15/2014",,,6,2,8
"6/16/2014",,,6,8,14
"6/17/2014",,,4,7,11
"6/18/2014",,,1,,1
"6/19/2014",,,2,2,4
"6/20/2014",,,5,3,8
"6/21/2014",,,5,1,6
"6/22/2014",,,2,5,7
"6/23/2014",,,4,4,8
"6/24/2014",,,2,2,4
"6/25/2014",,,5,5,10
"6/26/2014",,,3,3,6
"6/27/2014",,,1,,1
"6/28/2014",,,2,1,3
"6/29/2014",,1,3,6,10
"6/30/2014",,,8,3,11
"7/1/2014",,1,4,2,7
"7/2/2014",,,2,2,4
"7/3/2014",,,6,4,10
"7/4/2014",,,3,1,4
"7/5/2014",,,5,2,7
"7/6/2014",,,4,2,6
"7/7/2014",,,3,3,6
"7/8/2014",,,8,5,13
"7/9/2014",,,3,16,19
"7/10/2014",,1,2,1,4
"7/11/2014",,,3,6,9
"7/12/2014",,,4,3,7
"7/13/2014",,,4,6,10
"7/14/2014",,1,6,4,11
"7/15/2014",,,12,5,17
"7/16/2014",,,3,3,6
"7/17/2014",,,6,5,11
"7/18/2014",,,5,3,8
"7/19/2014",,,1,2,3
"7/20/2014",,,9,9,18
"7/21/2014",,,5,2,7
"7/22/2014",,,3,6,9
"7/23/2014",,,5,2,7
"7/24/2014",,,4,2,6
"7/25/2014",,,2,5,7
"7/26/2014",,,4,1,5
"7/27/2014",,,2,5,7
"7/28/2014",,,5,9,14
"7/29/2014",,,3,5,8
"7/30/2014",,,2,5,7
"7/31/2014",,,10,3,13
"8/1/2014",,,7,3,10
"8/2/2014",,,5,1,6
"8/3/2014",,,4,2,6
"8/4/2014",,,7,7,14
"8/5/2014",,,7,11,18
"8/6/2014",,1,3,16,20
"8/7/2014",,,5,6,11
"8/8/2014",,,6,3,9
"8/9/2014",,,3,2,5
"8/10/2014",,,5,5,10
"8/11/2014",,,5,,5
"8/12/2014",,,3,4,7
"8/13/2014",,,4,2,6
"8/14/2014",,,6,4,10
"8/15/2014",,,2,6,8
"8/16/2014",,,3,1,4
"8/17/2014",,,2,1,3
"8/18/2014",,,7,5,12
"8/19/2014",,,4,3,7
"8/20/2014",,,2,6,8
"8/21/2014",,,5,8,13
"8/22/2014",,,1,3,4
"8/23/2014",,,4,11,15
"8/24/2014",,,1,10,11
"8/25/2014",,,4,10,14
"8/26/2014",,,9,13,22
"8/27/2014",,,3,37,40
"8/28/2014",,,4,16,20
"8/29/2014",,,5,6,11
"8/30/2014",,,1,4,5
"8/31/2014",,,2,5,7
"9/1/2014",,,4,6,10
"9/2/2014",,,6,4,10
"9/3/2014",,,3,3,6
"9/4/2014",,,4,4,8
"9/5/2014",,1,6,5,12
"9/6/2014",,,1,6,7
"9/7/2014",,,,3,3
"9/8/2014",,,2,10,12
"9/9/2014",,,1,4,5
"9/10/2014",,,2,1,3
"9/11/2014",,,1,7,8
"9/12/2014",,,2,4,6
"9/13/2014",,,,2,2
"9/14/2014",,,2,3,5
"9/15/2014",,,5,3,8
"9/16/2014",,,3,8,11
"9/17/2014",,,1,4,5
"9/18/2014",,,1,2,3
"9/19/2014",,,2,7,9
"9/20/2014",,,3,,3
"9/21/2014",,,2,4,6
"9/22/2014",,,4,5,9
"9/23/2014",,,7,5,12
"9/24/2014",,,2,1,3
"9/25/2014",,,4,4,8
"9/26/2014",5,,,2,7
"9/27/2014",9,,,,9
"9/28/2014",3,,,,3
"9/29/2014",11,,,,11
"9/30/2014",10,,,,10
"10/1/2014",3,,4,1,8
"10/2/2014",,,7,4,11
"10/3/2014",,,4,3,7
"10/4/2014",,,3,3,6
"10/5/2014",,,4,3,7
"10/6/2014",,,4,4,8
"10/7/2014",,,7,3,10
"10/8/2014",,,3,2,5
"10/9/2014",,,3,3,6
"10/10/2014",,,4,1,5
"10/11/2014",,,,5,5
"10/12/2014",,1,,2,3
"10/13/2014",,,6,2,8
"10/14/2014",,,3,1,4
"10/15/2014",,,3,5,8
"10/16/2014",,,4,3,7
"10/17/2014",,,5,4,9
"10/18/2014",,,3,1,4
"10/19/2014",,,2,2,4
"10/20/2014",,1,3,5,9
"10/21/2014",,,4,13,17
"10/22/2014",,,4,3,7
"10/23/2014",,,,5,5
"10/24/2014",,,3,2,5
"10/25/2014",,,3,3,6
"10/26/2014",,,,46,46
"10/27/2014",,,3,11,14
"10/28/2014",,,4,4,8
"10/29/2014",,,4,,4
"10/30/2014",,,,6,6
"11/1/2014",,,2,,2
"11/2/2014",,,1,1,2
"11/3/2014",,,3,1,4
"11/4/2014",,,3,2,5
"11/5/2014",,,7,5,12
"11/6/2014",,,1,3,4
"11/7/2014",,,1,2,3
"11/8/2014",,,1,1,2
"11/9/2014",,,1,,1
